kc,kf,K,l,n_sim,C0av,C0bav,F0av,Cav,Cbav,Fav,r,ER,std,mean
0.01,0.0,0.0,0.1,56.0,0.4876271186440678,0.015095690741299999,0.055529664704425045,0.3592741935483871,0.011259772940060852,0.04801682894449284,32,6.773695661392597,0.058328028191448174,0.11289492768987659
0.01,0.0,0.0,0.1,57.0,0.3528813559322034,0.010807399229266462,0.04069043443254511,0.3185714285714286,0.010357459940320632,0.040833632614452706,36,17.613798098487326,1.3836877702560364,0.29356330164145533
0.01,0.0,0.0,0.1,58.0,0.4286440677966102,0.014675965882938022,0.04866155987306928,0.4771428571428572,0.018277278747446637,0.06028065793145562,36,17.804105356464092,1.392691634026813,0.29673508927440145
0.01,0.0,0.0,0.1,59.0,0.30864406779661013,0.008853205591850597,0.03539381537622285,0.35270270270270276,0.011023946515908836,0.043883875142233714,37,7.200934870553246,0.059216439794682545,0.12001558117588741
0.01,0.0,0.0,0.1,60.0,0.3213559322033898,0.009572429053976064,0.03727002446567312,0.3825910931174089,0.013176250860797248,0.048761669901303956,39,18.07091267880381,1.4313769012216453,0.3011818779800635
0.01,0.0,0.0,0.1,61.0,0.35949152542372886,0.011531543175040734,0.040045891461524145,0.38181818181818183,0.01393138342339326,0.04909468838716584,33,6.988982333800849,0.057498232327168185,0.11648303889668084
0.01,0.0,0.0,0.1,62.0,0.31576271186440674,0.01017724582394865,0.035379516901660385,0.435483870967742,0.016535451074230222,0.05687105573559799,31,17.864022218551266,1.4158331930820687,0.297733703642521
0.01,0.0,0.0,0.1,63.0,0.3254237288135593,0.010212640731294008,0.03688590923769934,0.42834224598930476,0.016811376516471854,0.05685433161012167,34,18.028649857418195,1.4143715321443955,0.3004774976236366
0.01,0.0,0.0,0.1,64.0,0.41847457627118645,0.013737185732534447,0.0492309803469551,0.4118951612903226,0.015450042295221582,0.055360475491974676,32,6.841006385983393,0.04788371396424401,0.11401677309972323
0.01,0.0,0.0,0.1,65.0,0.6228813559322034,0.02317705039370055,0.06872132094145351,0.7857142857142857,0.03382461856918013,0.09402580173122774,36,7.151594851001662,0.042287344732137494,0.11919324751669437
0.01,0.0,0.0,0.1,66.0,0.41644067796610174,0.014450333235330248,0.046645416111990565,0.49047619047619057,0.018448825999525475,0.06763488116676174,28,6.762577909780552,0.041101958622445894,0.11270963182967586
0.01,0.0,0.0,0.1,67.0,0.42508474576271194,0.012140642827578183,0.046659726405524196,0.38482758620689655,0.013265030005811095,0.05103481478018143,30,17.900969695232725,1.400861641095602,0.2983494949205454
0.01,0.0,0.0,0.1,68.0,0.41796610169491527,0.01219095374041465,0.04783986207436372,0.5079545454545455,0.017565082556750905,0.06530966509712315,33,7.0026716248695005,0.043138166180162515,0.11671119374782503
0.01,0.0,0.0,0.1,69.0,0.4688135593220339,0.016413372964986832,0.05124171108931417,0.5101604278074867,0.018286085075063515,0.0621896662985998,34,7.074248258181689,0.048841908577650264,0.11790413763636151
0.01,0.0,0.0,0.1,70.0,0.5649152542372882,0.022212085876559453,0.06048121341658228,0.7448275862068966,0.03684860306405148,0.08929883172579234,29,6.9988026505092265,0.05233455953868995,0.1166467108418204
0.01,0.0,0.0,0.1,71.0,0.3905084745762712,0.011230220254589656,0.04424558434362405,0.315483870967742,0.008246721087867608,0.042320927991544584,31,17.967959634271995,1.4128620784632768,0.2994659939045333
0.01,0.0,0.0,0.1,72.0,0.3961016949152543,0.01317193521214418,0.04309042972084846,0.2887700534759358,0.009323698914635662,0.03785971920254953,34,7.4839360168182205,0.06601341386256984,0.12473226694697036
0.01,0.0,0.0,0.1,73.0,0.41644067796610174,0.013407834817842848,0.048152396622578,0.48136557610241826,0.016326743453976684,0.05851574513364103,38,6.991392104145238,0.045633504556646845,0.11652320173575396
0.01,0.0,0.0,0.1,74.0,0.31677966101694915,0.009631319376051578,0.03731954290347805,0.36306818181818185,0.012080663804008823,0.04926690825171873,33,6.7936187474449214,0.05150976125025869,0.11322697912408201
0.01,0.0,0.0,0.1,75.0,0.43779661016949156,0.013455825132035679,0.04828278305016881,0.46,0.01639712786465586,0.05742657366542517,36,17.95757746576727,1.399758640090272,0.2992929577627879
0.01,0.0,0.0,0.1,76.0,0.44338983050847464,0.014031166433913599,0.04829994799226939,0.4703225806451613,0.016752104399293203,0.05953867299284167,31,6.891212369880508,0.05782140121569387,0.11485353949800849
0.01,0.0,0.0,0.1,77.0,0.28372881355932206,0.006594077509841746,0.03145139825655657,0.24189189189189192,0.0057563229464425835,0.03095555569393393,37,17.905453454737163,1.414049059723481,0.2984242242456194
